creation_date,el_model,yp,indices,label,matching,result_date,prediction_instance
[2][C][readings/Sat-16-09-2023/2023-09-16T16-29-21],2024_super_G,"[[0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 13, 18, 21, 46]","[7, 17, 22, 24, 31, 59, 50]",[7],Sat-16-09-2023,1
[3][M][readings/Sat-16-09-2023/2023-09-16T17-39-19],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 33, 38, 39, 46]","[7, 17, 22, 24, 31, 59, 50]",[],Sat-16-09-2023,2
[4][N][readings/Wed-20-09-2023/2023-09-17T15-26-43],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 28, 36, 47, 52]","[9, 18, 34, 37, 42, 52, 50]",[52],Wed-20-09-2023,3
[5][C][readings/Wed-20-09-2023/2023-09-17T15-52-21],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0]]","[24, 43, 52, 54, 57]","[9, 18, 34, 37, 42, 52, 50]",[52],Wed-20-09-2023,4
[6][A][readings/Wed-20-09-2023/2023-09-17T18-39-31],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]]","[21, 26, 38, 47, 57]","[9, 18, 34, 37, 42, 52, 50]",[],Wed-20-09-2023,5
[7][M][readings/Wed-27-09-2023/2023-09-26T13-36-10],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 11, 14, 16, 41]","[8, 10, 11, 20, 31, 44, 28]",[11],Wed-27-09-2023,6
[8][A][readings/Wed-27-09-2023/2023-09-23T14-52-01],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[2, 5, 38, 39, 52]","[8, 10, 11, 20, 31, 44, 28]",[],Wed-27-09-2023,7
[9][A][readings/Sat-30-09-2023/2023-09-24T14-21-54],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0]]","[16, 40, 47, 52, 58]","[1, 8, 14, 20, 24, 40, 52]","[40, 52]",Sat-30-09-2023,8
[10][N_O][readings/Sat-30-09-2023/2023-09-24T15-16-29],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 23, 31, 38, 46]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023,9
[11][C_O][readings/Sat-30-09-2023/2023-09-24T15-43-16],2024_super_G,"[[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0]]","[5, 8, 47, 52, 58]","[1, 8, 14, 20, 24, 40, 52]","[8, 52]",Sat-30-09-2023,10
[12][N_N][readings/Sat-30-09-2023/2023-09-29T18-34-28],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[16, 27, 28, 34, 58]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023,11
[13][C_N][readings/Sat-30-09-2023/2023-09-29T17-06-27],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 36, 45, 47, 52]","[1, 8, 14, 20, 24, 40, 52]",[52],Sat-30-09-2023,12
[14][A][readings/Wed-04-10-2023/2023-10-01T14-41-53],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[5, 11, 27, 52, 58]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023,13
[15][N][readings/Wed-04-10-2023/2023-10-01T15-36-03],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 30, 38, 40, 52]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023,14
[16][C][readings/Wed-04-10-2023/2023-10-01T15-55-25],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 13, 16, 29, 39]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023,15
[17][C][readings/Sat-07-10-2023/2023-10-05T16-28-38],2024_super_G,"[[0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 10, 16, 28, 47]","[10, 16, 20, 22, 47, 52, 26]","[10, 16, 47]",Sat-07-10-2023,16
[18][M][readings/Sat-07-10-2023/2023-10-06T22-34-23],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[14, 33, 36, 42, 46]","[10, 16, 20, 22, 47, 52, 26]",[],Sat-07-10-2023,17
[19][A][readings/Wed-11-10-2023/2023-10-08T15-07-11],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 28, 36, 39, 58]","[3, 8, 15, 18, 23, 25, 58]",[58],Wed-11-10-2023,18
[20][N][readings/Wed-11-10-2023/2023-10-08T15-57-38],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 7, 21, 28, 39]","[3, 8, 15, 18, 23, 25, 58]",[],Wed-11-10-2023,19
[21][M][readings/Wed-11-10-2023/2023-10-11T12-49-22],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 7, 25, 36, 58]","[3, 8, 15, 18, 23, 25, 58]","[25, 58]",Wed-11-10-2023,20
[22][M][readings/Sat-14-10-2023/2023-10-14T14-29-11],2024_super_G,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 6, 33, 38, 58]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023,21
[23][M][readings/Sat-14-10-2023/2023-10-14T18-07-31],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0]]","[16, 18, 47, 53, 58]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023,22
[24][A][readings/Wed-18-10-2023/2023-10-15T14-05-32],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]]","[5, 16, 38, 51, 58]","[6, 7, 8, 20, 34, 48, 38]",[38],Wed-18-10-2023,23
[25][C][readings/Wed-18-10-2023/2023-10-15T15-02-00],2024_super_G,"[[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]]","[3, 5, 16, 46, 51]","[6, 7, 8, 20, 34, 48, 38]",[],Wed-18-10-2023,24
[26][N][readings/Wed-18-10-2023/2023-10-15T15-20-04],2024_super_G,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 6, 28, 46, 58]","[6, 7, 8, 20, 34, 48, 38]",[6],Wed-18-10-2023,25
[27][M][readings/Sat-21-10-2023/2023-10-20T11-23-42],2024_super_G,"[[0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 10, 13, 16, 46]","[14, 15, 26, 37, 43, 54, 6]",[],Sat-21-10-2023,26
[28][M][readings/Sat-21-10-2023/2023-10-20T11-36-26],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]]","[5, 13, 26, 47, 48]","[14, 15, 26, 37, 43, 54, 6]",[26],Sat-21-10-2023,27
[29][M][readings/Wed-25-10-2023/2023-10-24T18-59-05],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0]]","[2, 5, 43, 52, 57]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023,28
[30][A][readings/Wed-25-10-2023/2023-10-24T22-44-37],2024_super_G,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0]]","[5, 6, 49, 56, 58]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023,29
[31][C][readings/Sat-28-10-2023/2023-10-26T15-24-08],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0]]","[5, 13, 46, 51, 58]","[25, 28, 37, 38, 42, 50, 6]",[],Sat-28-10-2023,30
[32][M][readings/Sat-28-10-2023/2023-10-26T21-12-29],2024_super_G,"[[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 8, 16, 43, 52]","[25, 28, 37, 38, 42, 50, 6]",[],Sat-28-10-2023,31
[33][M][readings/Wed-01-11-2023/2023-10-31T21-22-18],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 16, 36, 39, 57]","[9, 15, 36, 37, 42, 43, 50]",[36],Wed-01-11-2023,32
[34][M][readings/Wed-01-11-2023/2023-11-01T14-42-55],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0]]","[5, 7, 13, 48, 57]","[9, 15, 36, 37, 42, 43, 50]",[],Wed-01-11-2023,33
[35][M][readings/Sat-04-11-2023/2023-11-03T11-20-11],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 38, 46, 47, 58]","[20, 37, 39, 52, 54, 57, 43]",[],Sat-04-11-2023,34
[36][M][readings/Sat-04-11-2023/2023-11-03T14-37-22],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0
  0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0]]","[31, 34, 37, 55, 58]","[20, 37, 39, 52, 54, 57, 43]",[37],Sat-04-11-2023,35
[37][A][readings/Wed-08-11-2023/2023-11-04T17-00-16],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0]]","[28, 36, 47, 52, 58]","[1, 7, 12, 17, 46, 53, 24]",[],Wed-08-11-2023,36
[38][A][readings/Wed-08-11-2023/2023-11-05T15-50-06],2024_super_G,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0]]","[4, 28, 38, 53, 58]","[1, 7, 12, 17, 46, 53, 24]",[53],Wed-08-11-2023,37
[39][M][readings/Wed-08-11-2023/2023-11-08T17-30-53],2024_super_G,"[[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 28, 31, 33, 47]","[1, 7, 12, 17, 46, 53, 24]",[7],Wed-08-11-2023,38
[40][M][readings/Sat-11-11-2023/2023-11-10T13-57-51],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]]","[5, 7, 10, 31, 55]","[12, 26, 28, 34, 41, 42, 32]",[],Sat-11-11-2023,39
[41][M][readings/Sat-11-11-2023/2023-11-10T20-20-36],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 7, 23, 31, 38]","[12, 26, 28, 34, 41, 42, 32]",[],Sat-11-11-2023,40
[42][M][readings/Wed-15-11-2023/2023-11-14T16-40-52],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[2, 5, 38, 52, 58]","[6, 7, 16, 33, 40, 55, 4]",[],Wed-15-11-2023,41
[43][M][readings/Wed-15-11-2023/2023-11-14T17-11-02],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 16, 18, 36, 47]","[6, 7, 16, 33, 40, 55, 4]",[16],Wed-15-11-2023,42
[44][M][readings/Sat-18-11-2023/2023-11-17T12-15-52],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 7, 16, 28, 57]","[3, 11, 22, 23, 32, 47, 56]",[],Sat-18-11-2023,43
[45][M][readings/Sat-18-11-2023/2023-11-17T12-29-13],2024_super_G,"[[0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[2, 5, 7, 31, 38]","[3, 11, 22, 23, 32, 47, 56]",[],Sat-18-11-2023,44
[46][M][readings/Wed-22-11-2023/2023-11-21T15-40-45],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 13, 16, 28, 52]","[9, 14, 26, 49, 55, 56, 28]",[28],Wed-22-11-2023,45
[47][M][readings/Wed-22-11-2023/2023-11-21T16-05-10],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 16, 39, 40, 46]","[9, 14, 26, 49, 55, 56, 28]",[],Wed-22-11-2023,46
[48][M][readings/Sat-25-11-2023/2023-11-24T15-25-16],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 13, 30, 47, 58]","[5, 9, 31, 34, 46, 48, 49]",[5],Sat-25-11-2023,47
[49][M][readings/Sat-25-11-2023/2023-11-24T15-37-28],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[24, 29, 30, 47, 58]","[5, 9, 31, 34, 46, 48, 49]",[],Sat-25-11-2023,48
[50][M][readings/Wed-29-11-2023/2023-11-28T00-55-50],2024_super_G,"[[0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 8, 27, 36, 57]","[19, 31, 35, 38, 42, 49, 13]",[],Wed-29-11-2023,49
[51][M][readings/Wed-29-11-2023/2023-11-28T20-47-28],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 16, 25, 31, 38]","[19, 31, 35, 38, 42, 49, 13]","[31, 38]",Wed-29-11-2023,50
[52][M][readings/Sat-02-12-2023/2023-11-30T21-55-41],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0]]","[38, 39, 47, 56, 57]","[2, 4, 11, 23, 26, 33, 40]",[],Sat-02-12-2023,51
[53][M][readings/Sat-02-12-2023/2023-11-30T22-09-43],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 16, 38, 41, 46]","[2, 4, 11, 23, 26, 33, 40]",[],Sat-02-12-2023,52
[54][M][readings/Wed-06-12-2023/2023-12-05T18-55-32],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[5, 29, 39, 52, 58]","[2, 3, 6, 22, 43, 55, 47]",[],Wed-06-12-2023,53
[55][M][readings/Wed-06-12-2023/2023-12-05T19-09-18],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0]]","[18, 38, 52, 53, 58]","[2, 3, 6, 22, 43, 55, 47]",[],Wed-06-12-2023,54
[56][M][readings/Sat-09-12-2023/2023-12-08T15-09-32],2024_super_G,"[[0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0]]","[8, 14, 27, 47, 56]","[15, 27, 33, 44, 46, 59, 30]",[27],Sat-09-12-2023,55
