creation_date,el_model,yp,indices,label,matching,result_date
[2][C][readings/Sat-16-09-2023/2023-09-16T16-29-21],Magic,"[[0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]]","[7, 9, 43, 48, 52]","[7, 17, 22, 24, 31, 59, 50]",[7],Sat-16-09-2023
[3][M][readings/Sat-16-09-2023/2023-09-16T17-39-19],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[28, 36, 38, 46, 47]","[7, 17, 22, 24, 31, 59, 50]",[],Sat-16-09-2023
[4][N][readings/Wed-20-09-2023/2023-09-17T15-26-43],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[15, 25, 35, 42, 58]","[9, 18, 34, 37, 42, 52, 50]",[42],Wed-20-09-2023
[5][C][readings/Wed-20-09-2023/2023-09-17T15-52-21],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]]","[9, 23, 24, 51, 58]","[9, 18, 34, 37, 42, 52, 50]",[9],Wed-20-09-2023
[6][A][readings/Wed-20-09-2023/2023-09-17T18-39-31],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
  0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[26, 28, 38, 42, 58]","[9, 18, 34, 37, 42, 52, 50]",[42],Wed-20-09-2023
[7][M][readings/Wed-27-09-2023/2023-09-26T13-36-10],Magic,"[[0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
  0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[3, 5, 10, 32, 37]","[8, 10, 11, 20, 31, 44, 28]",[10],Wed-27-09-2023
[8][A][readings/Wed-27-09-2023/2023-09-23T14-52-01],Magic,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[3, 19, 20, 46, 57]","[8, 10, 11, 20, 31, 44, 28]",[20],Wed-27-09-2023
[9][A][readings/Sat-30-09-2023/2023-09-24T14-21-54],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0]]","[30, 40, 47, 53, 58]","[1, 8, 14, 20, 24, 40, 52]",[40],Sat-30-09-2023
[10][N_O][readings/Sat-30-09-2023/2023-09-24T15-16-29],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0]]","[6, 26, 46, 50, 51]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023
[11][C_O][readings/Sat-30-09-2023/2023-09-24T15-43-16],Magic,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[5, 24, 45, 52, 58]","[1, 8, 14, 20, 24, 40, 52]","[24, 52]",Sat-30-09-2023
[12][N_N][readings/Sat-30-09-2023/2023-09-29T18-34-28],Magic,"[[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 9, 28, 30, 34]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023
[13][C_N][readings/Sat-30-09-2023/2023-09-29T17-06-27],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[4, 25, 29, 30, 45]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023
[14][A][readings/Wed-04-10-2023/2023-10-01T14-41-53],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 11, 38, 39, 40]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023
[15][N][readings/Wed-04-10-2023/2023-10-01T15-36-03],Magic,"[[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[2, 3, 31, 41, 43]","[3, 8, 37, 42, 53, 55, 46]",[3],Wed-04-10-2023
[16][C][readings/Wed-04-10-2023/2023-10-01T15-55-25],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[13, 29, 39, 45, 58]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023
[17][C][readings/Sat-07-10-2023/2023-10-05T16-28-38],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0]]","[10, 28, 36, 47, 53]","[10, 16, 20, 22, 47, 52, 26]","[10, 47]",Sat-07-10-2023
[18][M][readings/Sat-07-10-2023/2023-10-06T22-34-23],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]","[4, 25, 40, 45, 49]","[10, 16, 20, 22, 47, 52, 26]",[],Sat-07-10-2023
[19][A][readings/Wed-11-10-2023/2023-10-08T15-07-11],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 18, 26, 38, 46]","[3, 8, 15, 18, 23, 25, 58]",[18],Wed-11-10-2023
[20][N][readings/Wed-11-10-2023/2023-10-08T15-57-38],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]","[9, 28, 30, 45, 54]","[3, 8, 15, 18, 23, 25, 58]",[],Wed-11-10-2023
[21][M][readings/Wed-11-10-2023/2023-10-11T12-49-22],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]]","[4, 25, 28, 40, 56]","[3, 8, 15, 18, 23, 25, 58]",[25],Wed-11-10-2023
[22][M][readings/Sat-14-10-2023/2023-10-14T14-29-11],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[19, 20, 29, 35, 58]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023
[23][M][readings/Sat-14-10-2023/2023-10-14T18-07-31],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 13, 18, 38, 46]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023
[24][A][readings/Wed-18-10-2023/2023-10-15T14-05-32],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[18, 19, 35, 38, 58]","[6, 7, 8, 20, 34, 48, 38]",[38],Wed-18-10-2023
[25][C][readings/Wed-18-10-2023/2023-10-15T15-02-00],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[9, 42, 45, 47, 58]","[6, 7, 8, 20, 34, 48, 38]",[],Wed-18-10-2023
[26][N][readings/Wed-18-10-2023/2023-10-15T15-20-04],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[9, 40, 43, 46, 58]","[6, 7, 8, 20, 34, 48, 38]",[],Wed-18-10-2023
[27][M][readings/Sat-21-10-2023/2023-10-20T11-23-42],Magic,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[3, 13, 15, 46, 58]","[14, 15, 26, 37, 43, 54, 6]",[15],Sat-21-10-2023
[28][M][readings/Sat-21-10-2023/2023-10-20T11-36-26],Magic,"[[0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 12, 29, 36, 45]","[14, 15, 26, 37, 43, 54, 6]",[],Sat-21-10-2023
[29][M][readings/Wed-25-10-2023/2023-10-24T18-59-05],Magic,"[[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[7, 18, 26, 36, 44]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023
[30][A][readings/Wed-25-10-2023/2023-10-24T22-44-37],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[10, 19, 35, 42, 58]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023
[31][C][readings/Sat-28-10-2023/2023-10-26T15-24-08],Magic,"[[0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]]","[4, 24, 44, 46, 53]","[25, 28, 37, 38, 42, 50, 6]",[],Sat-28-10-2023
[32][M][readings/Sat-28-10-2023/2023-10-26T21-12-29],Magic,"[[0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 10, 35, 42, 46]","[25, 28, 37, 38, 42, 50, 6]","[6, 42]",Sat-28-10-2023
[33][M][readings/Wed-01-11-2023/2023-10-31T21-22-18],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 14, 16, 36, 38]","[9, 15, 36, 37, 42, 43, 50]",[36],Wed-01-11-2023
[34][M][readings/Wed-01-11-2023/2023-11-01T14-42-55],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[20, 26, 36, 37, 39]","[9, 15, 36, 37, 42, 43, 50]","[36, 37]",Wed-01-11-2023
[35][M][readings/Sat-04-11-2023/2023-11-03T11-20-11],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 35, 38, 46, 58]","[20, 37, 39, 52, 54, 57, 43]",[],Sat-04-11-2023
[36][M][readings/Sat-04-11-2023/2023-11-03T14-37-22],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[10, 28, 31, 40, 58]","[20, 37, 39, 52, 54, 57, 43]",[],Sat-04-11-2023
[37][A][readings/Wed-08-11-2023/2023-11-04T17-00-16],Magic,"[[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[11, 29, 31, 40, 58]","[1, 7, 12, 17, 46, 53, 24]",[],Wed-08-11-2023
[38][A][readings/Wed-08-11-2023/2023-11-05T15-50-06],Magic,"[[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[4, 9, 28, 46, 58]","[1, 7, 12, 17, 46, 53, 24]",[46],Wed-08-11-2023
[39][M][readings/Wed-08-11-2023/2023-11-08T17-30-53],Magic,"[[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[9, 25, 28, 36, 58]","[1, 7, 12, 17, 46, 53, 24]",[],Wed-08-11-2023
[40][M][readings/Sat-11-11-2023/2023-11-10T13-57-51],Magic,"[[0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 9, 10, 38, 40]","[12, 26, 28, 34, 41, 42, 32]",[],Sat-11-11-2023
[41][M][readings/Sat-11-11-2023/2023-11-10T20-20-36],Magic,"[[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 7, 25, 38, 40]","[12, 26, 28, 34, 41, 42, 32]",[],Sat-11-11-2023
[42][M][readings/Wed-15-11-2023/2023-11-14T16-40-52],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 26, 28, 35, 38]","[6, 7, 16, 33, 40, 55, 4]",[6],Wed-15-11-2023
[43][M][readings/Wed-15-11-2023/2023-11-14T17-11-02],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 11, 18, 20, 25]","[6, 7, 16, 33, 40, 55, 4]",[6],Wed-15-11-2023
[44][M][readings/Sat-18-11-2023/2023-11-17T12-15-52],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0]]","[6, 24, 26, 46, 56]","[3, 11, 22, 23, 32, 47, 56]",[56],Sat-18-11-2023
[45][M][readings/Sat-18-11-2023/2023-11-17T12-29-13],Magic,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]]","[6, 20, 35, 57, 58]","[3, 11, 22, 23, 32, 47, 56]",[],Sat-18-11-2023
[46][M][readings/Wed-22-11-2023/2023-11-21T15-40-45],Magic,"[[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[1, 15, 25, 28, 33]","[9, 14, 26, 49, 55, 56, 28]",[28],Wed-22-11-2023
[47][M][readings/Wed-22-11-2023/2023-11-21T16-05-10],Magic,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 39, 40, 42, 45]","[9, 14, 26, 49, 55, 56, 28]",[],Wed-22-11-2023
